id,filename,relative_path,raw_timestamp,timestamp,depth,gain,frequency,bpp,image_width,image_height,micropixel,test_name,test_id,mask_status,mask_path
0,0000_1753176200174_T_1.png,data\phantom_taobao\images\0000_1753176200174_T_1.png,670211299690,1753176200174,4,50,8/10.0,4,528,557,72.34590065828846,phantom_taobao,1,negative,data\phantom_taobao\masks\0000_1753176200174_T_1_mask.png
1,0001_1753176203081_T_1.png,data\phantom_taobao\images\0001_1753176203081_T_1.png,672928345260,1753176203081,4,50,8/10.0,4,528,557,72.34590065828846,phantom_taobao,1,negative,data\phantom_taobao\masks\0001_1753176203081_T_1_mask.png
2,0002_1753176205250_T_1.png,data\phantom_taobao\images\0002_1753176205250_T_1.png,675190125160,1753176205250,4,50,8/10.0,4,528,557,72.34590065828846,phantom_taobao,1,negative,data\phantom_taobao\masks\0002_1753176205250_T_1_mask.png
3,0003_1753176220083_T_1.png,data\phantom_taobao\images\0003_1753176220083_T_1.png,690141683640,1753176220083,4,50,8/10.0,4,528,557,72.34590065828846,phantom_taobao,1,positive,data\phantom_taobao\masks\0003_1753176220083_T_1_mask.png
4,0004_1753176228033_T_1.png,data\phantom_taobao\images\0004_1753176228033_T_1.png,698067147610,1753176228033,4,50,8/10.0,4,528,557,72.34590065828846,phantom_taobao,1,positive,data\phantom_taobao\masks\0004_1753176228033_T_1_mask.png
5,0005_1753176231161_T_1.png,data\phantom_taobao\images\0005_1753176231161_T_1.png,701214533900,1753176231161,4,50,8/10.0,4,528,557,72.34590065828846,phantom_taobao,1,positive,data\phantom_taobao\masks\0005_1753176231161_T_1_mask.png
6,0006_1753176235203_T_1.png,data\phantom_taobao\images\0006_1753176235203_T_1.png,705283705070,1753176235203,4,50,8/10.0,4,528,557,72.34590065828846,phantom_taobao,1,positive,data\phantom_taobao\masks\0006_1753176235203_T_1_mask.png
7,0007_1753176238032_T_1.png,data\phantom_taobao\images\0007_1753176238032_T_1.png,708104711980,1753176238032,4,50,8/10.0,4,528,557,72.34590065828846,phantom_taobao,1,positive,data\phantom_taobao\masks\0007_1753176238032_T_1_mask.png
8,0008_1753176240248_T_1.png,data\phantom_taobao\images\0008_1753176240248_T_1.png,710329729710,1753176240248,4,50,8/10.0,4,528,557,72.34590065828846,phantom_taobao,1,positive,data\phantom_taobao\masks\0008_1753176240248_T_1_mask.png
9,0009_1753176242747_T_1.png,data\phantom_taobao\images\0009_1753176242747_T_1.png,712826035430,1753176242747,4,50,8/10.0,4,528,557,72.34590065828846,phantom_taobao,1,positive,data\phantom_taobao\masks\0009_1753176242747_T_1_mask.png
10,0010_1753176245318_T_1.png,data\phantom_taobao\images\0010_1753176245318_T_1.png,715377771190,1753176245318,4,50,8/10.0,4,528,557,72.34590065828846,phantom_taobao,1,positive,data\phantom_taobao\masks\0010_1753176245318_T_1_mask.png
11,0011_1753176253441_T_1.png,data\phantom_taobao\images\0011_1753176253441_T_1.png,723518559160,1753176253441,4,50,8/10.0,4,528,557,72.34590065828846,phantom_taobao,1,positive,data\phantom_taobao\masks\0011_1753176253441_T_1_mask.png
12,0012_1753176256475_T_1.png,data\phantom_taobao\images\0012_1753176256475_T_1.png,726557688190,1753176256475,4,50,8/10.0,4,528,557,72.34590065828846,phantom_taobao,1,positive,data\phantom_taobao\masks\0012_1753176256475_T_1_mask.png
13,0013_1753176260225_T_1.png,data\phantom_taobao\images\0013_1753176260225_T_1.png,730303534330,1753176260225,4,50,8/10.0,4,528,557,72.34590065828846,phantom_taobao,1,positive,data\phantom_taobao\masks\0013_1753176260225_T_1_mask.png
14,0014_1753176269257_T_1.png,data\phantom_taobao\images\0014_1753176269257_T_1.png,739313456870,1753176269257,4,50,8/10.0,4,528,557,72.34590065828846,phantom_taobao,1,positive,data\phantom_taobao\masks\0014_1753176269257_T_1_mask.png
15,0015_1753176273782_T_1.png,data\phantom_taobao\images\0015_1753176273782_T_1.png,743816926750,1753176273782,4,50,8/10.0,4,528,557,72.34590065828846,phantom_taobao,1,positive,data\phantom_taobao\masks\0015_1753176273782_T_1_mask.png
